rank,crowding_distance,ticker,setup_signals,horizon,support_is,support_oos,mu_is,p_long_is,mu_oos,acc_oos,tstat_oos,obj_acc,obj_tstat,obj_support_is,obj_diversity,fold,train_start,train_end,test_start,test_end,direction,expected_edge_pct
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
