rank,crowding_distance,ticker,setup_signals,horizon,support_is,support_oos,mu_is,p_long_is,mu_oos,acc_oos,tstat_oos,obj_acc,obj_tstat,obj_support_is,obj_diversity,fold,train_start,train_end,test_start,test_end,direction,expected_edge_pct
1,inf,TSLA US Equity,SIG_02159|SIG_01924,10,49,12,0.0434673001298159,0.5306122448979592,0.213439197636985,1.0,24.05007018543346,1.0,24.05007018543346,49.0,0.1,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.2379282270183285
1,inf,MSTR US Equity,SIG_02797|SIG_02328,10,89,34,0.0647827389106516,0.6629213483146067,0.1914341543578252,1.0,22.012966106724313,1.0,22.012966106724313,89.0,0.15,11,2022-08-25,2025-08-24,2024-09-05,2025-09-04,long,0.2109850924236576
1,inf,QQQ US Equity,SIG_02765|SIG_02789,10,106,18,0.0132660295606531,0.839622641509434,0.0613430726224979,1.0,21.89673430921552,1.0,21.89673430921552,106.0,0.1,3,2019-01-01,2021-12-31,2022-01-11,2023-01-10,long,0.0632636282632657
1,inf,AMD US Equity,SIG_02168|SIG_04639,10,25,18,0.0335086795191518,0.68,0.145602435790079,1.0,18.603973477835996,1.0,18.603973477835996,25.0,0.25,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.15673621970210516
1,inf,MSFT US Equity,SIG_00635|SIG_02853,10,18,17,0.0109318111273486,0.5,0.0349087001683331,1.0,16.53658294924951,1.0,16.53658294924951,18.0,0.15,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.035525161210694156
1,inf,GOOGL US Equity,SIG_00636|SIG_03337,10,21,10,0.0382051904168789,0.6190476190476191,0.0605817201272959,1.0,15.280839382326064,1.0,15.280839382326064,21.0,0.25,6,2020-07-01,2023-06-30,2023-07-11,2024-07-10,long,0.062454417933070605
1,0.4280055528343769,AAPL US Equity,SIG_04089,10,200,13,0.0188086668386931,0.685,0.0618680842600219,1.0,11.987256963969031,1.0,11.987256963969031,200.0,0.4,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.06382200060502297
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,0.2229157324750953,GOOGL US Equity,SIG_02516,2,262,11,0.001335075064086,0.5343511450381679,0.0204668846505274,1.0,8.967966260340184,1.0,8.967966260340184,262.0,0.3,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.02067776758256379
1,0.1429395703962102,MSTR US Equity,SIG_01183,5,189,28,0.0074987964710343,0.5343915343915344,0.0847023788704717,1.0,7.917512059724963,1.0,7.917512059724963,189.0,0.35,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.0883930897088614
1,0.071326759010729,MSFT US Equity,SIG_00636|SIG_02168,5,38,13,0.0107420289800596,0.5789473684210527,0.0404787164532169,1.0,7.184137192213655,1.0,7.184137192213655,38.0,0.25,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.041309146714725076
1,inf,MSTR US Equity,SIG_00636,5,111,12,-0.0252412982630986,0.4864864864864865,-0.1901180320322683,1.0,-3.617795813747034,1.0,-3.617795813747034,111.0,0.1,4,2019-07-01,2022-06-30,2022-07-11,2023-07-10,short,-0.17313846796363086
1,inf,AMD US Equity,SIG_02512,10,303,17,-0.0032615833947566,0.4818481848184818,-0.0480760456050723,1.0,-6.094231739189703,1.0,-6.094231739189703,303.0,0.1,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,short,-0.04693869180216337
1,0.1281577450068917,MSTR US Equity,SIG_01183,3,189,28,0.0048604410283004,0.5079365079365079,0.057733267426104,0.9642857142857144,5.99825155243379,0.9642857142857144,5.99825155243379,189.0,0.4,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.05943237289591652
1,0.2030749466879771,MSTR US Equity,SIG_02797|SIG_04217,2,41,28,0.0214173923943162,0.7560975609756098,0.0419385548891429,0.9285714285714286,4.669691792540774,0.9285714285714286,4.669691792540774,41.0,0.4666666666666667,11,2022-08-25,2025-08-24,2024-09-05,2025-09-04,long,0.04283039995258875
1,0.4217490463546811,GOOGL US Equity,SIG_02516,3,262,11,0.0024922719633246,0.5610687022900763,0.0280805039867405,0.9090909090909092,6.531102235815227,0.9090909090909092,6.531102235815227,262.0,0.4,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.02847847770651768
1,inf,GOOGL US Equity,SIG_02516,1,262,11,0.0004831023168378,0.5038167938931297,0.0121482026260126,0.9090909090909092,3.487105780745808,0.9090909090909092,3.487105780745808,262.0,0.5,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.012222291752138625
1,0.2252496392060148,QQQ US Equity,SIG_00689,5,209,28,0.0047698436425849,0.5789473684210527,0.0182422130266318,0.8928571428571429,3.938767552980245,0.8928571428571429,3.938767552980245,209.0,0.3,6,2020-07-01,2023-06-30,2023-07-11,2024-07-10,long,0.018409618594681154
1,0.3214975641188807,AMD US Equity,SIG_02765|SIG_02789,3,106,18,0.0035223326783166,0.5754716981132075,0.0529810494137973,0.8888888888888888,4.947263290751513,0.8888888888888888,4.947263290751513,106.0,0.25,3,2019-01-01,2021-12-31,2022-01-11,2023-01-10,long,0.05440966324880603
