ticker,setup_signals,horizon,support_is,support_oos,mu_is,std_is,p_long_is,mu_oos,hit_rate_oos,mae_oos,brier_oos,logloss_oos,ci68_cov_oos,drift_z,objectives,rank,crowding_distance
MSFT US Equity,"[np.str_('SIG_03941'), 'SIG_04643']",1,73,1,0.0029054727030464566,0.016651149001091596,0.5342465753424658,0.0016355864272807094,1.0,0.0012698862757657473,0.2169262525802214,0.6268977950187447,1.0,-0.07626418307124017,"(1.0, -0.0012698862757657473, 73.0)",1,inf
MSFT US Equity,"[np.str_('SIG_02635'), 'SIG_00879']",1,74,4,-0.0011045025215117774,0.014730080268090327,0.43243243243243246,0.001178702622315649,0.0,0.0022832051438274265,0.2883491599707816,0.7703457615335327,1.0,0.15500289898443514,"(0.0, -0.0022832051438274265, 74.0)",6,0.44935629247747305
QQQ US Equity,"[np.str_('SIG_04418'), np.str_('SIG_03941')]",5,78,1,0.0024428114202419667,0.03109476605344149,0.5897435897435898,-0.0006411325184032337,0.0,0.0030839439386452,0.3477975016436555,0.8909729238898653,1.0,-0.09917887574214045,"(0.0, -0.0030839439386452, 78.0)",2,inf
QQQ US Equity,"[np.str_('SIG_03941'), 'SIG_02681']",5,127,1,0.009012860943731278,0.019462872237323257,0.6692913385826772,0.005702538116377412,1.0,0.003310322827353866,0.10936821873643746,0.40153582996827475,1.0,-0.1700839828258122,"(1.0, -0.003310322827353866, 127.0)",7,0.438973071640709
QQQ US Equity,"[np.str_('SIG_03941'), np.str_('SIG_02633')]",1,157,17,0.0003296301403984464,0.012450926457995209,0.4585987261146497,0.0028410604665360002,0.5882352941176471,0.004246857277098339,0.25902017263556804,0.7112328650193218,0.8823529411764706,0.2017063015037624,"(0.5882352941176471, -0.004246857277098339, 157.0)",9,0.32629426996685645
QQQ US Equity,[np.str_('SIG_04015')],3,253,58,0.0028419480734819436,0.019568667949749877,0.6205533596837944,0.006423502778898882,0.7413793103448276,0.012470323864315734,0.20633493889059784,0.6043585835207135,0.7068965517241379,0.18302496187343795,"(0.7413793103448276, -0.012470323864315734, 253.0)",11,0.24826154783938137
QQQ US Equity,[np.str_('SIG_04015')],3,253,58,0.0028419480734819436,0.019568667949749877,0.6205533596837944,0.006423502778898882,0.7413793103448276,0.012470323864315734,0.20633493889059784,0.6043585835207135,0.7068965517241379,0.18302496187343795,"(0.7413793103448276, -0.012470323864315734, 253.0)",10,0.26657438975963227
QQQ US Equity,[np.str_('SIG_04015')],1,253,58,0.0013179175321816898,0.011861282250713954,0.5375494071146245,0.0025388964808275554,0.6551724137931034,0.00694658069662645,0.23975669369770738,0.6726245860736392,0.7241379310344828,0.10293819191195559,"(0.6551724137931034, -0.00694658069662645, 253.0)",29,0.009285359079542263
QQQ US Equity,[np.str_('SIG_04015')],1,253,58,0.0013179175321816898,0.011861282250713954,0.5375494071146245,0.0025388964808275554,0.6551724137931034,0.00694658069662645,0.23975669369770738,0.6726245860736392,0.7241379310344828,0.10293819191195559,"(0.6551724137931034, -0.00694658069662645, 253.0)",30,0.0
QQQ US Equity,[np.str_('SIG_04015')],1,253,58,0.0013179175321816898,0.011861282250713954,0.5375494071146245,0.0025388964808275554,0.6551724137931034,0.00694658069662645,0.23975669369770738,0.6726245860736392,0.7241379310344828,0.10293819191195559,"(0.6551724137931034, -0.00694658069662645, 253.0)",16,0.1308813087843526
QQQ US Equity,[np.str_('SIG_04533')],1,306,91,0.0009734267135700511,0.016013339673254,0.5490196078431373,0.0012424586566149444,0.6043956043956044,0.007813217777988444,0.2421680587770553,0.677440579613495,0.7802197802197802,0.016800489375382397,"(0.6043956043956044, -0.007813217777988444, 306.0)",17,0.12520797122887795
QQQ US Equity,[np.str_('SIG_04533')],1,306,91,0.0009734267135700511,0.016013339673254,0.5490196078431373,0.0012424586566149444,0.6043956043956044,0.007813217777988444,0.2421680587770553,0.677440579613495,0.7802197802197802,0.016800489375382397,"(0.6043956043956044, -0.007813217777988444, 306.0)",23,0.05371405217801646
QQQ US Equity,[np.str_('SIG_04418')],5,308,84,0.006568141997115108,0.025531425645770798,0.6655844155844156,0.006162489258872915,0.6547619047619048,0.013045986617647817,0.22616587957497053,0.6447106221250996,0.8452380952380952,-0.015888370037393053,"(0.6547619047619048, -0.013045986617647817, 308.0)",18,0.11059941321277944
QQQ US Equity,[np.str_('SIG_03938')],1,350,48,0.0005658604830174151,0.01445466711594416,0.5285714285714286,0.0019276559335306865,0.6458333333333334,0.007852137797171284,0.24248299319727895,0.678097662113919,0.7291666666666666,0.09421147091039882,"(0.6458333333333334, -0.007852137797171284, 350.0)",20,0.09559257178316911
QQQ US Equity,[np.str_('SIG_03938')],1,350,48,0.0005658604830174151,0.01445466711594416,0.5285714285714286,0.0019276559335306865,0.6458333333333334,0.007852137797171284,0.24248299319727895,0.678097662113919,0.7291666666666666,0.09421147091039882,"(0.6458333333333334, -0.007852137797171284, 350.0)",31,0.0
QQQ US Equity,[np.str_('SIG_03938')],1,350,48,0.0005658604830174151,0.01445466711594416,0.5285714285714286,0.0019276559335306865,0.6458333333333334,0.007852137797171284,0.24248299319727895,0.678097662113919,0.7291666666666666,0.09421147091039882,"(0.6458333333333334, -0.007852137797171284, 350.0)",32,0.0
QQQ US Equity,[np.str_('SIG_03938')],1,350,48,0.0005658604830174151,0.01445466711594416,0.5285714285714286,0.0019276559335306865,0.6458333333333334,0.007852137797171284,0.24248299319727895,0.678097662113919,0.7291666666666666,0.09421147091039882,"(0.6458333333333334, -0.007852137797171284, 350.0)",25,0.042429296503365244
