setup_id,specialized_ticker,direction,description,signal_ids,oos_first_trigger,oos_last_trigger,oos_days_since_last_trigger,oos_total_trades,oos_open_trades,oos_sum_pnl_dollars,oos_final_nav,oos_nav_total_return_pct,expectancy,source_run
SIG_02907|SIG_03469,CRM US Equity,long,XLK US Equity_opt.rv_minus_iv_21 is_low AND RTY Index_flow.pcr_ema5_z30 is_high,"SIG_02907, SIG_03469",2023-03-13,2025-09-03,5,10,1,200661.3593,300661.3593,200.6614,12266.0044,run_seed78_20250908_235457
SIG_01202,QQQ US Equity,long,AAPL US Equity_liq.turnover_z_63 is_high,SIG_01202,2024-08-05,2025-09-04,4,12,1,200634.9884,300634.9884,200.635,11889.3641,run_seed78_20250908_235457
SIG_00790,MSTR US Equity,long,GOOGL US Equity_vol.updown_ratio_21 z_breakout_pos,SIG_00790,2022-02-04,2025-09-01,7,16,1,200415.9568,300415.9568,200.416,27011.6619,run_seed78_20250908_235457
SIG_04207,XLK US Equity,long,EUR Curncy_risk.drawdown_63 is_high,SIG_04207,2022-02-07,2025-09-08,0,21,1,200218.141,300218.141,200.2181,7187.2033,run_seed78_20250908_235457
SIG_04127,XLK US Equity,long,EUR Curncy_px.mom_21 is_high,SIG_04127,2022-08-10,2025-08-29,10,24,1,190590.8458,290590.8458,190.5908,9069.8301,run_seed78_20250908_235457
SIG_02718,GOOGL US Equity,long,XLE US Equity_opt.fly_1m_40v25 z_breakout_pos,SIG_02718,2023-07-25,2025-09-08,0,17,1,189816.4401,289816.4401,189.8164,8166.9673,run_seed78_20250908_235457
SIG_00510|SIG_05096,AMD US Equity,long,AMZN US Equity_sent.tw_avg_z30 is_high AND MSTR US Equity_gate.liquid_flag is_high,"SIG_00510, SIG_05096",2024-08-05,2025-09-08,0,10,1,181060.9467,281060.9467,181.0609,19526.7996,run_seed78_20250908_235457
SIG_00494|SIG_00790,MSTR US Equity,long,AMZN US Equity_flow.opt_vol_z30 is_high AND GOOGL US Equity_vol.updown_ratio_21 z_breakout_pos,"SIG_00494, SIG_00790",2022-02-04,2025-09-05,3,10,1,165987.3257,265987.3257,165.9873,30302.5412,run_seed78_20250908_235457
SIG_03469,LLY US Equity,long,RTY Index_flow.pcr_ema5_z30 is_high,SIG_03469,2024-08-02,2025-09-02,6,16,1,163620.0095,263620.0095,163.62,13121.6296,run_seed78_20250908_235457
SIG_00494|SIG_03493,MSTR US Equity,long,RTY Index_x.spread_vs_sector_21 is_high AND AMZN US Equity_flow.opt_vol_z30 is_high,"SIG_00494, SIG_03493",2022-03-11,2025-09-05,3,15,1,162357.9825,262357.9825,162.358,24835.841,run_seed78_20250908_235457
SIG_05093,LLY US Equity,long,AMD US Equity_gate.liquid_flag is_high,SIG_05093,2024-01-02,2025-09-08,0,25,1,160425.5411,260425.5411,160.4255,10082.7433,run_seed78_20250908_235457
SIG_05114,TSLA US Equity,long,XLE US Equity_gate.liquid_flag is_high,SIG_05114,2024-07-16,2025-09-08,0,18,1,157657.3531,257657.3531,157.6574,11759.3461,run_seed78_20250908_235457
SIG_01428|SIG_04127,QQQ US Equity,long,LLY US Equity_flow.pcr_ema5_z30 is_high AND EUR Curncy_px.mom_21 is_high,"SIG_01428, SIG_04127",2022-08-10,2025-09-01,7,14,1,151978.2499,251978.2499,151.9782,20588.1706,run_seed78_20250908_235457
SIG_05193,XLK US Equity,long,CRM US Equity_cs.rank_mom_21 z_breakout_pos,SIG_05193,2021-01-29,2025-09-01,7,22,1,151610.853,251610.853,151.6109,10827.2251,run_seed78_20250908_235457
SIG_02894|SIG_04681,LLY US Equity,long,XAU Curncy_px.mom_21 is_high AND XLK US Equity_opt.fly_1m_40v25 is_high,"SIG_02894, SIG_04681",2023-01-27,2025-09-01,7,11,1,150888.4112,250888.4112,150.8884,29332.53,run_seed78_20250908_235457
SIG_02907|SIG_05093,AMZN US Equity,long,XLK US Equity_opt.rv_minus_iv_21 is_low AND AMD US Equity_gate.liquid_flag is_high,"SIG_02907, SIG_05093",2023-03-13,2025-09-08,0,11,1,145657.7154,245657.7154,145.6577,5408.5351,run_seed78_20250908_235457
